Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities,Origin URL
marshalsec,local_repos/marshalsec,No,,"RCE, Deserialization","This repository provides ssrf, deserialization, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Deserialization', 'Header Injection', 'RCE']",https://github.com/mbechler/marshalsec
awspx,local_repos/awspx,Yes,80,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'SQL Injection', 'XSS']",https://github.com/WithSecureLabs/awspx
fabidick22_inject-sec-to-devops,local_repos/fabidick22_inject-sec-to-devops,Yes,,RCE,"This repository provides lfi/rfi, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS']",https://github.com/fabidick22/inject-sec-to-devops
Hawkeye,local_repos/Hawkeye,Yes,80,RCE,"This repository provides rce, xss, sql injection proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['RCE', 'XSS', 'SQL Injection', 'Header Injection', 'LFI/RFI', 'SSRF']",https://github.com/0xbug/Hawkeye
go-mitmproxy,local_repos/go-mitmproxy,No,,XSS,"This repository provides ssrf, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Header Injection', 'XSS']",https://github.com/lqqyt2423/go-mitmproxy
stacs,local_repos/stacs,Yes,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'XSS']",https://github.com/stacscan/stacs
CAT-Team-mmc_lysec,local_repos/CAT-Team-mmc_lysec,Yes,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'Deserialization', 'XSS', 'RCE', 'Header Injection', 'SQL Injection']",https://github.com/CAT-Team-mmc/lysec
detection-hackathon-apt29,local_repos/detection-hackathon-apt29,Yes,,RCE,"This repository provides header injection, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'Path Traversal']",https://github.com/OTRF/detection-hackathon-apt29
malleum-inc_canari3,local_repos/malleum-inc_canari3,Yes,,RCE,"This repository provides sql injection, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization', 'RCE', 'SSRF', 'XSS']",https://github.com/malleum-inc/canari3
locust,local_repos/locust,Yes,5557,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 5557 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Deserialization', 'SQL Injection', 'SSRF', 'XSS', 'Header Injection']",https://github.com/locustio/locust
UI-TARS-desktop,local_repos/UI-TARS-desktop,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection', 'RCE', 'SQL Injection']",https://github.com/bytedance/UI-TARS-desktop
composer-registry-manager,local_repos/composer-registry-manager,No,,RCE,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']",https://github.com/slince/composer-registry-manager
tweepy_tweepy,local_repos/tweepy_tweepy,No,,SQL Injection,"This repository provides header injection, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'Deserialization', 'XSS']",https://github.com/tweepy/tweepy
captcha-killer-5h6m,local_repos/captcha-killer-5h6m,No,,Web Application,Security research repository - captcha-killer-5h6m,[],https://github.com/33time/captcha-killer-5h6m
gpt-researcher,local_repos/gpt-researcher,Yes,${PORT},RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment on port ${PORT} demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'Path Traversal', 'XSS', 'Deserialization']",https://github.com/assafelovic/gpt-researcher
Kali-Linux-Tools-Interface,local_repos/Kali-Linux-Tools-Interface,No,,RCE,"This repository provides header injection, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SQL Injection', 'XSS', 'LFI/RFI', 'RCE', 'Path Traversal', 'Deserialization']",https://github.com/lucasfrag/Kali-Linux-Tools-Interface
weggli-rs_weggli,local_repos/weggli-rs_weggli,No,,RCE,"This repository provides lfi/rfi, sql injection, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Path Traversal']",https://github.com/weggli-rs/weggli
