file,has_http_request,http_library,target_url_param,port_handling,response_check,vulnerability_check,issues
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,True,True,False,True,
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,True,True,False,True,May need HTTP request capability
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,False,True,False,True,May need HTTP request capability; No target URL parameter found
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,False,True,False,True,May need HTTP request capability; No target URL parameter found
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,False,True,True,False,No target URL parameter found
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,True,requests,True,True,True,True,SSL verification disabled (may be intentional for testing); No timeout specified for HTTP requests
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,True,True,True,True,May need HTTP request capability
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,False,True,False,True,May need HTTP request capability; No target URL parameter found
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,True,requests,True,True,True,True,"Only HTTP, no HTTPS support"
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,True,True,False,False,"Only HTTP, no HTTPS support"
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,True,True,False,True,
/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/PeiQi_Wiki/Web服务器漏洞/Apache/Apache Solr/POC/Apache Solr XXE 漏洞 CVE-2017-12629.py,False,,True,True,False,True,
