Repo,Path,Has Docker,Docker Files,Web Ports,Has PoC,PoC Categories,PoC Files,Unittest Files,Docker Valid,Docker Message,Summary
marshalsec,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/marshalsec,No,,,Yes,Deserialization; RCE; SSRF; Deserialization; RCE; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/marshalsec/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/marshalsec/src/main/java/marshalsec/MarshallerBase.java,,No,,"If you came here for Log4Shell/CVE-2021-44228, you may want to read about"
poc-collection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/poc-collection,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/poc-collection/poc-collection.csv; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/poc-collection/README.md,,No,,poc-collection 是对 github 上公开的 PoC 进行收集的一个项目。
awspx,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/awspx,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/awspx/Dockerfile,80,Yes,RCE; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/awspx/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/awspx/lib/util/console.py,,Yes,Has Dockerfile (untested),"> auspex [ˈau̯s.pɛks] noun: An augur of ancient Rome, especially one who interpreted omens derived from the observation of birds."
fabidick22_inject-sec-to-devops,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fabidick22_inject-sec-to-devops,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fabidick22_inject-sec-to-devops/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fabidick22_inject-sec-to-devops/test_my_api.py,Yes,Has Dockerfile (untested),<details><summary>`Detect-secrets` (https://github.com/Yelp/detect-secrets)</summary>
HD421_Monitoring-Systems-Cheat-Sheet,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HD421_Monitoring-Systems-Cheat-Sheet,No,,,Yes,RCE; SQL Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HD421_Monitoring-Systems-Cheat-Sheet/README.md,,No,,Cheat sheet for pentesters and researchers about monitoring systems exploitation.
Hawkeye,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Hawkeye,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Hawkeye/Dockerfile,80,No,,,,Yes,Has Dockerfile (untested),No README found
go-mitmproxy,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-mitmproxy,No,,,Yes,Header Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-mitmproxy/go.mod; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-mitmproxy/proxy/attacker.go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-mitmproxy/internal/helper/host_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-mitmproxy/cert/self_sign_ca_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-mitmproxy/proxy/proxy_test.go,No,,"<div align=""center"" markdown=""1"">"
stacs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacs,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacs/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacs/tests/test_model_ignore_list.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacs/tests/test_filter_ignore_list.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stacs/tests/test_model_pack.py,Yes,Has Dockerfile (untested),[![Shield](https://img.shields.io/github/actions/workflow/status/stacscan/stacs/publish.yml?label=Deploy&style=flat-square)](https://github.com/stacsc
DCOMPotato,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DCOMPotato,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DCOMPotato/README.md,,No,,"DCOM use `RPC_C_IMP_LEVEL_IDENTIFY` as default impersonation level, for the default out-bound `IUnknown` call, see <https://learn.microsoft.com/en-us/"
CAT-Team-mmc_lysec,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CAT-Team-mmc_lysec,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CAT-Team-mmc_lysec/platform/public/assets/bower/xterm.js/Dockerfile,3000,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CAT-Team-mmc_lysec/platform/public/assets/bower/wangEditor/static/emotions/default/14.gif,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CAT-Team-mmc_lysec/platform/tests/UnitTestCase.php,Yes,Has Dockerfile (untested),![img](https://github.com/CAT-Team-mmc/lysec/blob/master/image/%E6%95%88%E6%9E%9C%E5%9B%BE%E5%B1%95%E7%A4%BA%E5%9B%BE.gif)
